"Thunder","Imagine Dragons"
"Gorgeous","Taylor Swift"
"Perfect","Ed Sheeran"
"Havana (feat. Young Thug)","Camila Cabello"
"Feel It Still","Portugal. The Man"
"What Lovers Do (feat. SZA)","Maroon 5"
"Look What You Made Me Do","Taylor Swift"
"Bad at Love","Halsey"
"Believer","Imagine Dragons"
"Too Good at Goodbyes","Sam Smith"
"What About Us","P!nk"
"...Ready For It?","Taylor Swift"
"What Ifs (feat. Lauren Alaina)","Kane Brown"
"Millionaire","Chris Stapleton"
"Greatest Love Story","LANCO"
"Praying","Kesha"
"Mi Gente (feat. Beyoncé)","J Balvin & Willy William"
"Strip That Down (feat. Quavo)","Liam Payne"
"Love So Soft","Kelly Clarkson"
"Miss Me More","Kelsea Ballerini"
"When It Rains It Pours","Luke Combs"
"Bedroom Floor","Liam Payne"
"New Rules","Dua Lipa"
"Young Dumb & Broke","Khalid"
"Body Like a Back Road","Sam Hunt"
"Unforgettable","Thomas Rhett"
"Every Little Thing","Carly Pearce"
"Losing Sleep","Chris Young"
"Slow Hands","Niall Horan"
"Despacito (feat. Justin Bieber) [Remix]","Luis Fonsi & Daddy Yankee"
"Attention","Charlie Puth"
"How Long","Charlie Puth"
"If I Told You","Darius Rucker"
"There's Nothing Holdin' Me Back","Shawn Mendes"
"Tennessee Whiskey","Chris Stapleton"
"I Won't Back Down (Live from Saturday Night Live)","Jason Aldean"
"Kids in Love (feat. The Night Game)","Kygo"
"Like I Loved You","Brett Young"
"You Broke Up with Me","Walker Hayes"
"I'll Name the Dogs","Blake Shelton"
"Broken Halos","Chris Stapleton"
"Shape of You","Ed Sheeran"
"Whiskey (feat. A$AP Rocky)","Maroon 5"
"Something Just Like This","The Chainsmokers & Coldplay"
"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha"
"On the Loose","Niall Horan"
"Glorious (feat. Skylar Grey)","Macklemore"
"Mi Gente","J Balvin & Willy William"
"Wagon Wheel","Darius Rucker"
"Yours","Russell Dickerson"
"Silence (feat. Khalid)","Marshmello"
"Human","Rag'n'Bone Man"
"That’s What I Like","Bruno Mars"
"Dusk Till Dawn (feat. Sia)","ZAYN"
"rockstar (feat. 21 Savage)","Post Malone"
"Slow Hands","Niall Horan"
"Sorry Not Sorry","Demi Lovato"
"In Case You Didn't Know","Brett Young"
"Say You Won't Let Go","James Arthur"
"CAN'T STOP THE FEELING!","Justin Timberlake"
"24K Magic","Bruno Mars"
"Let Me Go (feat. Florida Georgia Line & watt)","Hailee Steinfeld & Alesso"
"Small Town Boy","Dustin Lynch"
"Boy","Lee Brice"
"Smooth","Florida Georgia Line"
"Rise Up","Andra Day"
"Light It Up","Luke Bryan"
"Jump Up, Super Star!","The Super Mario Players feat.Kate Davis"
"What About Us","P!nk"
"Too Good at Goodbyes","Sam Smith"
"The Long Way","Brett Eldredge"
"No Promises (feat. Demi Lovato)","Cheat Codes"
"Friends","Justin Bieber & BloodPop®"
"Castle on the Hill","Ed Sheeran"
"Walk On Water","Thirty Seconds to Mars"
"The Rest of Our Life","Tim McGraw & Faith Hill"
"Galway Girl","Ed Sheeran"
"Tin Man","Miranda Lambert"
"Heartache on the Dance Floor","Jon Pardi"
"The Sound of Silence","Disturbed"
"Wish I Knew You","The Revivalists"
"Good Old Days (feat. Kesha)","Macklemore"
"Despacito (feat. Daddy Yankee)","Luis Fonsi"
"Up Down (feat. Florida Georgia Line)","Morgan Wallen"
"Whatever It Takes","Imagine Dragons"
"Thinking Out Loud","Ed Sheeran"
"Versace On The Floor","Bruno Mars"
"She's Got a Way","Chris Young"
"Location","Khalid"
"Bodak Yellow","Cardi B"
"Fix a Drink","Chris Janson"
"Anywhere","Rita Ora"
"I Could Use a Love Song","Maren Morris"
"Tell Me You Love Me","Demi Lovato"
"Flicker","Niall Horan"
"Round Here Buzz","Eric Church"
"Meaning of Life","Kelly Clarkson"
"For the First Time","Darius Rucker"
"Butterfly Effect","Travis Scott"
"Blue Ain't Your Color","Keith Urban"
